2026-03-09 20:22:54 | INFO | P1 | === RUN START ===
2026-03-09 20:22:54 | INFO | P1 | project=CINTEL
2026-03-09 20:22:54 | INFO | P1 | repo_dir=cintel-01-getting-started
2026-03-09 20:22:54 | INFO | P1 | python=3.14.2
2026-03-09 20:22:54 | INFO | P1 | os=Windows 11
2026-03-09 20:22:54 | INFO | P1 | shell=powershell
2026-03-09 20:22:54 | INFO | P1 | cwd=.
2026-03-09 20:22:54 | INFO | P1 | github_actions=False
2026-03-09 20:22:54 | INFO | P1 | ========================
2026-03-09 20:22:54 | INFO | P1 | START main()
2026-03-09 20:22:54 | INFO | P1 | ========================
2026-03-09 20:22:54 | INFO | P1 | ROOT_DIR = .
2026-03-09 20:22:54 | INFO | P1 | DOCS_DIR = docs
2026-03-09 20:22:54 | INFO | P1 | ========================
2026-03-09 20:22:54 | INFO | P1 | Pipeline executed successfully!
2026-03-09 20:22:54 | INFO | P1 | ========================
2026-03-09 20:22:54 | INFO | P1 | END main()
2026-03-09 21:33:27 | INFO | P1 | === RUN START ===
2026-03-09 21:33:27 | INFO | P1 | project=CINTEL
2026-03-09 21:33:27 | INFO | P1 | repo_dir=cintel-01-getting-started
2026-03-09 21:33:27 | INFO | P1 | python=3.14.2
2026-03-09 21:33:27 | INFO | P1 | os=Windows 11
2026-03-09 21:33:27 | INFO | P1 | shell=powershell
2026-03-09 21:33:27 | INFO | P1 | cwd=.
2026-03-09 21:33:27 | INFO | P1 | github_actions=False
2026-03-09 21:33:27 | INFO | P1 | ========================
2026-03-09 21:33:27 | INFO | P1 | START main()
2026-03-09 21:33:27 | INFO | P1 | ========================
2026-03-09 21:33:27 | INFO | P1 | ROOT_DIR = .
2026-03-09 21:33:27 | INFO | P1 | DOCS_DIR = docs
2026-03-09 21:33:27 | INFO | P1 | ========================
2026-03-09 21:33:27 | INFO | P1 | Pipeline executed successfully!
2026-03-09 21:33:27 | INFO | P1 | ========================
2026-03-09 21:33:27 | INFO | P1 | END main()
2026-03-10 21:50:23 | INFO | P1 | === RUN START ===
2026-03-10 21:50:23 | INFO | P1 | project=CINTEL
2026-03-10 21:50:23 | INFO | P1 | repo_dir=cintel-01-getting-started
2026-03-10 21:50:23 | INFO | P1 | python=3.14.2
2026-03-10 21:50:23 | INFO | P1 | os=Windows 11
2026-03-10 21:50:23 | INFO | P1 | shell=powershell
2026-03-10 21:50:23 | INFO | P1 | cwd=.
2026-03-10 21:50:23 | INFO | P1 | github_actions=False
2026-03-10 21:50:23 | INFO | P1 | ========================
2026-03-10 21:50:23 | INFO | P1 | START main()
2026-03-10 21:50:23 | INFO | P1 | ========================
2026-03-10 21:50:23 | INFO | P1 | ROOT_DIR = .
2026-03-10 21:50:23 | INFO | P1 | DOCS_DIR = docs
2026-03-10 21:50:23 | INFO | P1 | SRC_DIR = src
2026-03-10 21:50:23 | INFO | P1 | Custom modification: logging the src folder path.
2026-03-10 21:50:23 | INFO | P1 | ========================
2026-03-10 21:50:23 | INFO | P1 | Pipeline executed successfully!
2026-03-10 21:50:23 | INFO | P1 | Custom modification by Abdellah Boudlal.
2026-03-10 21:50:23 | INFO | P1 | ========================
2026-03-10 21:50:23 | INFO | P1 | END main()
